Issue Date,,06-Nov-23,"11-Nov-23
no mpox reports",18-Nov-23,"26-Nov-23
no mpox reports","3-Dec-23
no mpox reports","9-Dec-23
no mpox reports","18-Dec-23
no mpox reports",24-Dec-23,"31-Dec-23
no mpox reports",07-Jan-24,"12-Jan-24
no mpox reports","20-Jan-24
no mpox reports","29-Jan-24
no mpox reports","3-Feb-24
no mpox reports",10-Feb-24,"17-Feb-24
no mpox reports","4-Mar-24
no mpox reports",17-Mar-24,24-Mar-24,29-Mar-24,06-Apr-24,14-Apr-24,20-Apr-24,28-Apr-24,05-May-24,12-May-24,18-May-24,25-May-24,01-Jun-24,09-Jun-24,16-Jun-24,22-Jun-24,30-Jun-24,06-Jul-24,12-Jul-24,"19-Jul-24
No mpox reports",28-Jul-24,03-Aug-24,09-Aug-24,16-Aug-24,25-Aug-24,31-Aug-24,10-Sep-24,16-Sep-24,23-Sep-24,30-Sep-24,06-Oct-24,12-Oct-24,"21-Oct-24
(data appears to be the same as 22-Oct bulletin)",26-Oct-24
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,No info,"30
(<5 years)","38
(<5 years)","38.9
(<10 years)",53.7,54,52.1,53.9,51.7,51.9,51.4,50.6,48.4
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,No info,51.7,55,56.3,53,53,54,54.8,53.9,53.8,54.3,53.2,52.3
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,No info,No info,259,513,732,859,991,1468,1743,No info,2425,2811,3018
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,127,226,399,702,1029,1139,1497,1982,2087,2188,2508,2788,3026
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,N/A,N/A,64.9,73.1,71.1,75.4,66.2,74.1,83.5,N/A,96.6,100.8,99.7
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,No info,No info,"No info 
(total # of tests given only)","No info 
(total # of tests given only)","No info 
(total # of tests given only)",75,"No info 
(total # of tests given only)","No info 
(total # of tests given only)",84,96,97,100.8,99.7
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22,61,100,190,281,328,365,564,696,853,987,1170,1287
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,No info,No info,259,513,732,859,991,1468,1743,No info,2425,2811,3018
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,N/A,N/A,38.6,37,38.4,38.2,36.8,38.4,39.9,N/A,40.7,41.6,42.6
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,No info,No info,38.6,37,38.3,38.2,36.8,38.4,39.9,41,40.7,41.6,42.6
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,No info,No info,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib
Cameroon,New Cases,12,,2,,,,,3,,,,,,,8,,,5,,3,,,,,,,,,,,17,,,,,,4,,,,,,8,,,21,8,9,5,6
,New Confirmed Cases,4,,0,,,,,0,,,,,,,2,,,0,,0,,,,,,,,,,,3,,,,,,0,,,,,,0,,,0,0,0,0,0
,New Deaths,0,,0,,,,,0,,,,,,,1,,,0,,0,,,,,,,,,,,1,,,,,,0,,,,,,1,,,0,0,0,0,0
,Cumulative Cases,135,,137,,,,,140,,,,,,,8,,,13,,14,,,,,,,,,,,31,,,,,,35,,,,,,42,,,81,89,98,103,109
,Cumulative Confirmed Cases,27,,27,,,,,27,,,,,,,2,,,2,,2,,,,,,,,,,,5,,,,,,5,,,,,,5,,,6,6,6,6,6
,Cumulative Deaths,0,,1,,,,,0,,,,,,,1,,,1,,1,,,,,,,,,,,2,,,,,,2,,,,,,3,,,2,2,2,2,2
,Case Fatality Rate (%),0,,"0.7
(calculated)",,,,,0,,,,,,,"12.5
(calculated)",,,7.7,,7.1,,,,,,,,,,,6.6,,,,,,5.7,,,,,,6.4,,,2.5,2.2,2,2,2
,% Children < 15 Years,No info,,No info,,,,,No info,,,,,,,No info,,,No info,,No info,,,,,,,,,,,No info,,,,,,No info,,,,,,60,,,60,60,60,60,60
,% Male,No info,,No info,,,,,No info,,,,,,,No info,,,No info,,No info,,,,,,,,,,,80,,,,,,80,,,,,,80,,,80,80,80,80,80
,Cumulative Cases Tested,No info,,No info,,,,,No info,,,,,,,No info,,,No info,,No info,,,,,,,,,,,No info,,,,,,No info,,,,,,29,,,63,No info,78,82,82
,Cumulative Cases,135,,137,,,,,140,,,,,,,8,,,13,,14,,,,,,,,,,,31,,,,,,35,,,,,,42,,,81,89,98,103,109
,Calculated Testing Rate,N/A,,N/A,,,,,N/A,,,,,,,N/A,,,N/A,,N/A,,,,,,,,,,,N/A,,,,,,N/A,,,,,,69,,,77.8,N/A,79.6,79.6,75.2
,Reported Testing Rate (%),No info,,No info,,,,,No info,,,,,,,No info,,,No info,,No info,,,,,,,,,,,No info,,,,,,No info,,,,,,69,,,78,82,80,80,75.2
,Cumulative Confirmed Cases,27,,27,,,,,27,,,,,,,2,,,2,,2,,,,,,,,,,,5,,,,,,5,,,,,,5,,,5,6,6,6,6
,Cumulative Cases Tested,No info,,No info,,,,,No info,,,,,,,No info,,,No info,,No info,,,,,,,,,,,No info,,,,,,No info,,,,,,29,,,63,No info,78,82,82
,Calculated Positivity Rate (%),N/A,,N/A,,,,,N/A,,,,,,,N/A,,,N/A,,N/A,,,,,,,,,,,N/A,,,,,,N/A,,,,,,17.2,,,7.9,N/A,7.7,7.3,7.3
,Reported Positivity Rate (%),No info,,No info,,,,,No info,,,,,,,No info,,,No info,,No info,,,,,,,,,,,No info,,,,,,No info,,,,,,17.2,,,"25.9*
(this number is wrong - should be 5/63 or 7.9)",8.2,7.7,7.3,7.3
,Clade(s) Isolated from Confirmed Cases,No info,,No info,,,,,No info,,,,,,,No info,,,No info,,No info,,,,,,,,,,,I/II,,,,,,II,,,,,,II,,,II,II,II,II,II
Central African Republic,New Cases,,,,,,,,,,,,,,,,,,13,1,,,46,,,,,16,1,,,,,,,,,26,14,31,5,,3,20,,22,17,12,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,1,0,,,,,,,,,7,4,3,5,,3,0,,5,3,2,,,
,New Deaths,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,0,0,,,,,,,,,0,0,0,0,,0,0,,0,0,0,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,45,47,,,93,,,,,109,110,,,,,,,,,213,227,258,263,,48,278,,307,324,336,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,21,21,,,,,,,,,28,32,35,40,,48,48,,52,55,57,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,0,0,,,,,,,,,0,0,0,0,,1,1,,1,1,1,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,0,No info,,,0,,,,,0,0,,,,,,,,,0,0,0,0,,2.3,0.3,,0.3,1.8,0.3,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,No info,No info,,,"35
(<5 years)",,,,,No info,43,,,,,,,,,43,43,43,43,,42,42,,42.3,49.1,49.1,,,
,% Male,,,,,,,,,,,,,,,,,,No info,No info,,,No info,,,,,No info,62,,,,,,,,,62,62,62,62,,58,58,,58,62,62,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,No info,No info,,,No info,,,,,No info,No info,,,,,,,,,No info,No info,No info,No info,,No info,247,,307,324,No info,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,45,47,,,93,,,,,109,110,,,,,,,,,213,227,258,263,,No info,278,,307,324,336,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,N/A,N/A,,,N/A,,,,,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,88.8,,100,100,N/A,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,No info,No info,,,No info,,,,,No info,No info,,,,,,,,,No info,No info,No info,No info,,No info,89,,100,100,100,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,21,21,,,,,,,,,28,32,35,40,,48,48 (5 also listed),,52,55,57,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,No info,No info,,,No info,,,,,No info,No info,,,,,,,,,No info,No info,No info,No info,,No info,247,,307,324,No info,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,N/A,N/A,,,N/A,,,,,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,19.4 (48/247),,16.9,17,N/A,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,No info,No info,,,No info,,,,,No info,No info,,,,,,,,,No info,No info,No info,No info,,No info,19,,16.93,16.97,17,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,No info,No info,,,No info,,,,,No info,No info,,,,,,,,,I,I,I,I,,Ia,Ia,,Ia,Ia,Ia,,,
Congo Republic,New Cases,,,1,,,,,4,,5,,,,,2,,,29,2,,21,,,1,,18,9,,22,,,24,13,,,,,,23,,2,,,5,,14,,,,5
,New Confirmed Cases,,,0,,,,,0,,0,,,,,2,,,17,0,,0,,,0,,0,0,,0,,,0,0,,,,,,0,,2,,,0,,0,,,,0
,New Deaths,,,0,,,,,0,,0,,,,,0,,,0,0,,0,,,0,,0,0,,0,,,1,0,,,,,,0,,0,,,0,,0,,,,0
,Cumulative Cases,,,90,,,,,95,,100,,,,,No info,,,43,49,,64,,,60,,78,87,,109,,,133,146,,,,,,169,,162,,,184,,204,,,,239
,Cumulative Confirmed Cases,,,20,,,,,21,,21,,,,,No info,,,19,19,,19,,,19,,19,19,,19,,,19,19,,,,,,19,,21,,,21,,21,,,,22
,Cumulative Deaths,,,2,,,,,5,,5,,,,,No info,,,0,0,,0,,,0,,0,0,,0,,,1,1,,,,,,1,,0,,,0,,0,,,,0
,Case Fatality Rate (%),,,"10
(should be 2/90 = 2.2%)",,,,,"23.8
(should be 5/95 = 5.3%)",,"23.8
(should be 5/100 = 5%)",,,,,No info,,,0,0,,0,,,0,,0,0,,0,,,0.8,0.7,,,,,,0.6,,0,,,0,,0,,,,0
,% Children < 15 Years,,,No info,,,,,No info,,No info,,,,,No info,,,"44.2
(5-14 years)",No info,,No info,,,"42 
(>15 years listed)",,44,56,,56,,,"44
(>15 reported)","44
(>15 reported)",,,,,,"44
(only >15 given)",,"38.1
(only >15 given)",,,38.09,,38.09,,,,38.09
,% Male,,,No info,,,,,No info,,No info,,,,,No info,,,57.9,No info,,No info,,,58,,58,58,,58,,,58,58,,,,,,58,,57.14,,,57.14,,57.14,,,,57.14
,Cumulative Cases Tested,,,No info,,,,,No info,,No info,,,,,No info,,,No info,No info,,No info,,,No info,,No info,No info,,No info,,,No info,No info,,,,,,No info,,No info,,,No info,,No info,,,,147
,Cumulative Cases,,,90,,,,,95,,100,,,,,No info,,,43,49,,64,,,60,,78,87,,109,,,133,146,,,,,,169,,162,,,184,,204,,,,239
,Calculated Testing Rate,,,N/A,,,,,N/A,,N/A,,,,,N/A,,,N/A,N/A,,N/A,,,N/A,,N/A,N/A,,N/A,,,N/A,N/A,,,,,,N/A,,N/A,,,N/A,,N/A,,,,61.5
,Reported Testing Rate (%),,,No info,,,,,No info,,No info,,,,,No info,,,No info,No info,,No info,,,No info,,No info,No info,,No info,,,No info,No info,,,,,,No info,,No info,,,No info,,No info,,,,61.5
,Cumulative Confirmed Cases,,,20,,,,,21,,21,,,,,No info,,,19,19,,19,,,19,,19,19,,19,,,19,19,,,,,,19,,21,,,21,,21,,,,22
,Cumulative Cases Tested,,,No info,,,,,No info,,No info,,,,,No info,,,No info,No info,,No info,,,No info,,No info,No info,,No info,,,No info,No info,,,,,,No info,,No info,,,No info,,No info,,,,147
,Calculated Positivity Rate (%),,,N/A,,,,,N/A,,N/A,,,,,N/A,,,N/A,N/A,,N/A,,,N/A,,N/A,N/A,,N/A,,,N/A,N/A,,,,,,N/A,,N/A,,,N/A,,N/A,,,,15
,Reported Positivity Rate (%),,,No info,,,,,No info,,No info,,,,,No info,,,No info,No info,,No info,,,No info,,No info,No info,,No info,,,No info,No info,,,,,,No info,,No info,,,No info,,No info,,,,15
,Clade(s) Isolated from Confirmed Cases,,,No info,,,,,No info,,No info,,,,,No info,,,No info,No info,,No info,,,No info,,No info,No info,,No info,,,No info,No info,,,,,,No info,,No info,,,No info,,No info,,,,No info
Cote d'Ivoire,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,26,,153,94,,28,53,39,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,26,,15,9,,10,5,7,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,0,0,,0,0,0,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,28,,181,275,,251,304,343,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,28,,43,52,,62,67,74,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,1,1,,1,1,1,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.6,,3.6,1.9,,1.6,0.3,1.3,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,25,,35,40,,45.1,41.8,40,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No info
(""student"", no gender listed)",,,71,,70,69,,69.4,67.2,69,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,No info,No info,,No info,No info,No info,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,181,275,,251,304,343,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,N/A,N/A,,N/A,N/A,N/A,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,No info,No info,,No info,No info,No Info,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,28,,43,52,,62,67,74,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,No info,No info,,No info,No info,No info,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,N/A,N/A,,N/A,N/A,N/A,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,No info,No info,,No info,No info,No info,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,II,,II,II,,IIa,IIa,IIa,,
Democratic Republic of the Congo,New Cases,,,,,,,,917,,,,,,,1167,,,1592,437,593,273,381,167,159,480,136,468,458,,922,273,597,458,524,1362,,2713,688,2387,1005,672,2933,2865,1484,1775,1828,,,724,
,New Confirmed Cases,,,,,,,,501,,,,,,,224,,,0,72,0,0,0,0,0,0,0,0,49,,276,0,0,0,0,910,,583,87,0,222,90,1838,203,307,232,213,,,233,
,New Deaths,,,,,,,,120,,,,,,,96,,,135,14,15,12,15,7,2,11,2,14,11,,16,12,11,11,8,16,,7,5,56,24,22,35,22,14,103,26,,,0,
,Cumulative Cases,,,,,,,,14200,,,,,,,1598,,,3190,3895,4488,4538,4919,5086,5284,5764,5900,6386,7281,,7864,8137,8734,9192,9716,11078,,13791,14479,16789,16794,19667,22600,25465,23319 (first mention),26267,27487,,,34030,
,Cumulative Confirmed Cases,,,,,,,,1215,,,,,,,247,,,247,319,319,319,319,319,319,319,319,319,884,,1135,1135,1135,1135,1135,2045,,2628,2715,2638,2860,2961,4799,5002,5467 (first mention),5599,5812,,,6962,
,Cumulative Deaths,,,,,,,,715,,,,,,,114,,,249,264,279,296,311,318,322,333,335,349,374,,383,397,408,419,427,443,,450,455,511,535,575,610,635,730,833,859,,,981,
,Case Fatality Rate (%),,,,,,,,"5.0
(calculated)",,,,,,,"46.1 
(should be 114/1598 = 7.1)",,,7.8,7.8,6.7,6.5,6.3,6.3,6.1,5.8,5.7,5.5,5.1,,4.9,4.9,4.7,4.6,4.4,4,,3.3,3.1,3.04,3.2,2.9,3.4,2.5,3.1,3.2,3.1,,,2.9,
,% Children < 15 Years,,,,,,,,No info,,,,,,,No info,,,66.8,71,70,"70 
(5-15 years)","70 
(5-15 years)","70 
(5-15 years)","70 
(5-15 years)",68,68,68,68,,68,68,68,66,66,66,,66,66,66,66,66,66,66,No info,No info,No info,,,36.9,
,% Male,,,,,,,,No info,,,,,,,No info,,,No info,No info,No info,No info,No info,60,60,73,73,73,73,,73,73,73,73,73,73,,73,73,73,73,73,73,73,53,53,53,,,53,
,Cumulative Cases Tested,,,,,,,,No info,,,,,,,No info,,,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,9421,10320,10151,10151 (not updated?),,,12701,
,Cumulative Cases,,,,,,,,14200,,,,,,,1598,,,3190,3895,4488,4538,4919,5086,5284,5764,5900,6386,7281,,7864,8137,8734,9192,9716,11078,,13791,14479,16789,16794,19667,17801,25465,23012 (second mention),26267,27487,,,34030,
,Calculated Testing Rate,,,,,,,,N/A,,,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,37,44.8,38.6,36.9,,,37.3,
,Reported Testing Rate (%),,,,,,,,No info,,,,,,,No info,,,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,46,44.2,38.6,38.6,,,45.5,
,Cumulative Confirmed Cases,,,,,,,,1215,,,,,,,247,,,247,319,319,319,319,319,319,319,319,319,884,,1135,1135,1135,1135,1135,2045,,2628,2715,2638,2860,2961,4799,5002,5454 (second mention),5599,5812,,,6962,
,Cumulative Cases Tested,,,,,,,,No info,,,,,,,No info,,,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,9421,10320,10151,10151 (not updated?),,,12701,
,Calculated Positivity Rate (%),,,,,,,,N/A,,,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,53.1,52.8,55.2,57.3,,,54.8,
,Reported Positivity Rate (%),,,,,,,,No info,,,,,,,No info,,,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,53,53,55.2,54.9,,,54.8,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,No info,,,,,,,No info,,,No info,No info,No info,No info,No info,I,I,I,I,I,I,,I,I,I,I,I,I,,I,I,I,I,I,Ia/Ib,Ia/Ib,Ia/Ib,Ia/Ib,Ia/Ib,,,Ia/Ib,
Gabon,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,15,,,2,2,,1,1
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,1,,,0,0,,0,1
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,0,,,0,0,,0,1
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,15,,,18,20,,23,24
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,2,,,2,2,,2,2
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,0,,,0,0,,0,0
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,0,,,0,0,,0,0
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,0,,,No info,No info,,No info,No info
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,50,,,No info,No info,,No info,No info
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,15,,,18,No info,,23,24
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,15,,,18,20,,23,24
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,100,,,100,N/A,,100,100
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,100,,,100,100,,100,100
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,2,,,2,2,,2,2
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,15,,,18,No info,,23,24
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,13.3,,,11.11,N/A,,8.7,8.3
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,15,,,11.11,11,,11,8
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,No info,,,No info,Ia,,No info,No info
Ghana,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 (2024),,,,,,,,,,,,,,,,1,1,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,1,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131 (2022-2024),,,,,,,,,,,,,,,,230,230,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,1,2,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,230,230,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,N/A,N/A,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,1,2,,
